model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_100000_train_rmse,step_100000_val_rmse,step_100000_test_rmse,step_100000_batching_time_mean,step_100000_update_time_mean,step_100000_batching_time_median,step_100000_update_time_median
painn,00_33_35__07_04_2025,qm9,dynamic,False,64,cpu,9,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_9/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_9/profiling_job.sh,1,nan,nan,nan,0.0031469605374336244,0.35691898463249205,0.003123044967651367,0.35609209537506104
painn,00_33_35__07_04_2025,qm9,dynamic,False,64,cpu,4,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_4/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_4/profiling_job.sh,1,nan,nan,nan,0.0028910451316833496,0.3567057305574417,0.0027666091918945312,0.35589373111724854
painn,00_33_35__07_04_2025,qm9,dynamic,False,64,cpu,7,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_7/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_7/profiling_job.sh,1,nan,nan,nan,0.0030387837958335876,0.3553366602253914,0.0029485225677490234,0.3544020652770996
painn,00_33_35__07_04_2025,qm9,dynamic,False,64,cpu,6,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_6/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_6/profiling_job.sh,1,nan,nan,nan,0.002991179735660553,0.35837911080598833,0.0028755664825439453,0.3578602075576782
painn,00_33_35__07_04_2025,qm9,dynamic,False,64,cpu,3,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_3/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/64/cpu/iteration_3/profiling_job.sh,1,nan,nan,nan,0.0029866915941238405,0.3584636106038094,0.0029151439666748047,0.3579277992248535
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,2,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_2/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_2/profiling_job.sh,1,nan,nan,nan,0.0021479181027412413,0.16527879949092866,0.0021049976348876953,0.16472721099853516
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,1,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_1/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_1/profiling_job.sh,1,nan,nan,nan,0.0021728841161727905,0.16359450436592102,0.0021347999572753906,0.16283750534057617
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,5,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_5/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_5/profiling_job.sh,1,nan,nan,nan,0.002379160761833191,0.1641357097887993,0.0023484230041503906,0.16333281993865967
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,0,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_0/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_0/profiling_job.sh,1,nan,nan,nan,0.002282457010746002,0.1640838967037201,0.002281665802001953,0.1633293628692627
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,8,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_8/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_8/profiling_job.sh,1,nan,nan,nan,0.0024063450288772585,0.16517128677368165,0.0023708343505859375,0.16440057754516602
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,9,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_9/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_9/profiling_job.sh,1,nan,nan,nan,0.0022911567974090575,0.16605360289096832,0.0022696256637573242,0.165571928024292
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,4,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_4/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_4/profiling_job.sh,1,nan,nan,nan,0.002030267169475555,0.16413200895071028,0.00200653076171875,0.16335225105285645
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,7,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_7/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_7/profiling_job.sh,1,nan,nan,nan,0.0021046747279167177,0.16387889376163484,0.00206756591796875,0.16308999061584473
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,6,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_6/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_6/profiling_job.sh,1,nan,nan,nan,0.0021993630957603456,0.16294570098400116,0.002165555953979492,0.16223359107971191
painn,00_33_35__07_04_2025,qm9,dynamic,False,32,cpu,3,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_3/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/dynamic/round_False/32/cpu/iteration_3/profiling_job.sh,1,nan,nan,nan,0.0021372600889205933,0.16312375787734984,0.0021038055419921875,0.16239118576049805
painn,,qm9,static,False,128,cpu,2,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_2/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,1,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_1/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,5,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_5/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,0,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_0/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,8,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_8/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,9,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_9/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,4,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_4/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,7,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_7/profiling_job.sh,,nan,,,,,,,
painn,,qm9,static,False,128,cpu,6,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_6/profiling_job.sh,,nan,,,,,,,
